transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
17081078829967081,1705.7427888846642,199111308.30163497,737591.0034914445,269.94812,4.93962705207576,1705.7431032179757,154540290.4284355,206050.4574350316,750.0119,4.865937905592858,1705.7431917661552,77376534.3856355,104739.84869855366,738.7497,5.0263723155960776,False,False,False,12289,0,0,False
17085171105321650,1705.81679018044,197130024.36456132,467481.17077627516,421.6855,4.950484928087047,1705.817104556877,149797525.5881658,320991.81774764654,466.67087,4.899780616839443,1705.8171928564036,78458640.83928153,78526.4982556328,999.13586,5.011293550016269,False,False,False,12289,0,0,False
23310971021840858,1818.4082784900995,194941461.4209337,484244.07283832255,402.5686,4.962606323246636,1818.4085929085506,148039241.56867263,161567.0334258296,916.27136,4.912600087144924,1818.4086812914063,83322379.45828435,89854.46313655234,927.3037,4.9459913418789725,False,False,False,12289,0,0,False
26092909725013489,1868.7230282945463,202524755.96978286,1756424.150642581,115.30515,4.921171573191987,1868.7233216822922,153419254.84755334,209610.62849342564,731.925,4.873842543145944,1868.7234097719222,77898627.9830792,63182.67760822932,1232.9111,5.019070979714726,False,False,False,12293,0,0,False
35578723062964291,2040.2658800766937,187952939.533766,775015.5400597942,242.51506,5.002244061174011,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
36901689304568685,2064.188947995453,191721468.35348177,385878.2664450898,496.84442,4.980690000804341,2064.189262349406,146537570.24567732,131030.61484492935,1118.3461,4.9236697503429205,2064.189350578358,89150053.90131815,90321.05441424559,987.03516,4.872591475925336,False,False,False,12291,0,0,False
36905781583725192,2064.262920789962,187720917.75001886,1940040.2790823008,96.76135,5.003585195128654,2064.2632634648367,142596892.4231685,146475.3889143858,973.5212,4.953267062915536,2064.2633511515482,73662810.46052127,58884.35100069419,1250.9744,5.07977478992489,False,False,False,4206593,0,0,False
44053726844340025,2193.531311172048,195655583.17052612,705120.4115038081,277.47827,4.958636253770827,2193.531653981018,147909029.80724278,147521.9067724974,1002.62415,4.913555494873005,2193.5317413088724,75600482.68172392,63757.16268591593,1185.7567,5.0515840803467285,False,False,False,4206593,0,0,False
45697909962351713,2223.268443533062,203050794.97784242,2367311.8379543587,85.77273,4.918355131643185,2223.268758447316,150653300.38285783,159040.6928882476,947.2626,4.893595590139039,2223.268844498089,76709947.73117882,68988.84626976238,1111.9181,5.035766284091114,False,False,False,12289,0,0,False
46813539773334068,2243.4458418867953,189348656.85666725,1174864.4282228923,161.16638,4.994211295048096,2243.4461845141445,143271403.1945392,155450.9669329702,921.65015,4.94814342986308,2243.446272263747,73718997.08968343,64501.08830174263,1142.9109,5.07894695558802,False,False,False,4206593,0,0,False
54742034862888511,2386.826408753456,202530742.13255545,914703.2422985419,221.41689,4.921139481818432,2386.8267021418014,152373558.0820892,147424.26049782007,1033.5718,4.881268193553829,2386.8267901610398,77344886.90535513,79844.89967833046,968.68915,5.026816479246104,False,False,False,12293,0,0,False
56644676188518062,2421.2314900620095,198880127.78081867,443724.2740780691,448.20654,4.940888391224089,2421.2318047130957,150818734.5785327,259183.46684798395,581.89954,4.8924039843318745,2421.2318913528056,78074409.15954731,75725.13015195579,1031.0238,5.016623735348588,False,False,False,12289,0,0,False
56648768472671042,2421.305490574465,199246414.22986606,769799.9877483309,258.8288,4.938890581335588,2421.3058048706666,150891552.48784614,143241.05037493014,1053.41,4.891879898509014,2421.305893704931,80014103.92545706,63954.49180220464,1251.11,4.989979136264651,False,False,False,12289,0,0,False
57612644701709055,2438.7353266597183,194636180.29598257,2926270.7565962025,66.51339,4.9643079344395815,2438.7356413997377,146548579.57591847,136753.3843708624,1071.6267,4.923588182323101,2438.7357276061066,74351542.17418607,64996.56061389002,1143.9304,5.069670548808187,False,False,False,12289,0,0,False
64815967165235906,2569.0068314311193,198138036.17117712,1731506.1221492244,114.43104,4.944947231545875,2569.0071740771514,150676489.01225162,159834.54897070845,942.7029,4.8934284859534785,2569.007261785704,76872528.94403571,57758.56065195353,1330.9287,5.033467579463206,False,False,False,4206593,0,0,False
66697811830904720,2603.0423212488345,203873307.26353452,2136552.5555418083,95.42162,4.91396594663933,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
67486014385968976,2617.2977484988437,188835842.97029883,689073.7544694899,274.043,4.9971557887766345,2617.2980418717407,144977034.0660725,124045.81321764043,1168.7378,4.935294188974282,2617.2981298395166,73925868.7510245,65543.94388710214,1127.8826,5.075904408891102,False,False,False,12293,0,0,False
