transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
19679967033321341,1752.749063662599,22555436.69068239,102956.12241337135,219.07816,7.304238767575921,1752.749377504907,16830262.301916834,22574.89514078231,745.53,7.273315004380262,1752.7494660389593,9302332.107955301,11268.954794927748,825.48315,7.326415900025804,False,False,False,12353,0,0,False
26440010625478918,1874.999781639114,22570773.824646298,26759.680062970423,843.46204,7.30350074494682,1875.0000952164742,16678453.65251031,28732.944813920734,580.4645,7.2831527597124115,1875.0001846049158,8855729.222040756,36281.78791367996,244.08194,7.379834679076033,False,False,True,8193,0,2048,False
26444102945531117,1875.0737828825563,22547021.360288177,22706.99567356739,992.95483,7.304643926380336,1875.0740966198266,16866426.61485604,24135.345821825205,698.8268,7.270984513153024,1875.0741853129452,9334903.622409498,9289.023477071065,1004.9392,7.322620904995137,False,False,False,8193,0,0,False
28111887597581771,1905.2321156483551,22251961.07509246,15987.58671008067,1391.8274,7.318946138138433,1905.232429777001,16566529.682683492,20256.795388679704,817.8258,7.29046335837403,1905.232516506327,9267766.412810743,10068.869548522227,920.4376,7.330457803191944,False,False,False,8193,0,0,False
28115979888161439,1905.306116001425,22199458.030884914,32809.53119638038,676.61615,7.321510937355697,1905.3064295692186,16623483.531015288,23352.443837211387,711.852,7.28673712208532,1905.306518923714,9260385.589529755,10541.38185519229,878.4793,7.3313228249685345,False,False,False,12289,0,0,False
29314476111185825,1926.9783875108938,22695814.20516667,136616.36222768322,166.12808,7.297502448216289,,,,,,,,,,,True,True,True,7352705,8389632,16779264,False
29318568416813776,1927.052473386491,22243999.07457375,53304.00811256472,417.30444,7.319334696213755,1927.0527876274634,16751210.976991883,34570.25918974454,484.55554,7.2784266945869405,1927.05287382732,9268344.602195524,11487.328234984698,806.83203,7.330390069334726,True,False,False,12289,0,0,False
34877687003615943,2027.5848429674752,22268046.076427564,30031.867331759335,741.4806,7.318161588890561,2027.5851573643315,16720457.828509085,14899.19028387443,1122.2394,7.28042180372282,2027.5852428009855,9255052.081085123,9434.414140463117,980.9885,7.331948333636479,False,False,False,12289,0,0,False
34881779328135709,2027.658854647304,22311915.81130289,45386.8383950218,491.5944,7.316024710669694,2027.6591687684318,16791981.325852234,14038.929673585246,1196.1012,7.275787359294267,2027.6592558286263,9300094.444772637,8993.127847527821,1034.1334,7.326677103792562,False,False,False,12289,0,0,False
34891520168707665,2027.8349943384026,22526067.708750453,17620.778585663207,1278.381,7.305653404106632,2027.8353365189525,16864401.057469867,16606.645653172993,1015.52124,7.271114911435156,2027.835423907524,9347664.82624581,9219.54573132818,1013.8965,7.321137671764731,False,False,False,4202497,0,0,False
34895612446041652,2027.9090332898081,22569022.604596086,36157.65802993441,624.1838,7.303584988260365,2027.909347079763,16906422.109904747,15080.5910419939,1121.0715,7.268412945817634,2027.90943571245,9318739.409042813,8870.173297836347,1050.5702,7.324502583124907,False,False,False,12289,0,0,False
34905353175851989,2028.0851991646837,22339505.632330332,32200.742227918883,693.75745,7.314682971911285,2028.0855129371785,16680959.745788416,13671.761916997546,1220.1031,7.282989629972857,2028.0856017084823,9500024.047564251,9552.64555274698,994.4914,7.303583739587456,False,False,True,12289,0,0,False
35126673244713792,2032.0878908042373,22326050.87834367,54869.711182656814,406.8921,7.31533709177959,2032.0882044546029,16806600.05222098,14388.330302057,1168.0717,7.274842552648476,2032.0882937384067,9300139.633981641,10195.198033681538,912.2078,7.32667182820731,False,False,False,12289,0,0,False
35140506180801971,2032.3380885502368,22305856.745182466,17755.28004926853,1256.2943,7.31631959529156,2032.3383813838152,16754368.385359587,14346.407586489997,1167.8441,7.278222065229475,2032.3384694552933,9307377.07187147,9190.736032353914,1012.69116,7.3258272288051245,False,False,False,8197,0,0,False
35144598454980930,2032.412078634468,22288828.167533334,28598.93035525817,779.3588,7.317148776805187,2032.412392478433,16674556.975871643,12963.315280401084,1286.288,7.283406455726315,2032.4124808962067,9278435.404660871,9023.179405347932,1028.289,7.329208629683347,False,False,False,12289,0,0,False
35154339276661389,2032.5882470578858,22177026.43380261,35844.45603726266,618.7017,7.322608581725273,2032.5885613204966,16693433.042456686,14989.408305846566,1113.6819,7.282178067017874,2032.5886475889326,9246956.786034944,9316.454796672817,992.5403,7.332898431060837,False,False,False,4097,0,0,False
