transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
27083902397984949,1886.6396056829822,136537973.03187948,359160.915617326,380.1582,5.3492332388930635,1886.639920331461,104225867.3730904,117889.1661770481,884.10046,5.293603420710831,1886.6400075386305,52010941.291268565,49250.32797866236,1056.0527,5.4576587169432536,False,False,False,12289,0,0,False
27087994673492221,1886.7136186528892,137811605.15578288,631764.9803714624,218.13745,5.3391523891116925,1886.7139328014205,104003880.95988677,118280.86141126366,879.29596,5.295918351973196,1886.7140222689688,50877672.34132306,47092.36660356537,1080.3805,5.481577415959155,False,False,False,12289,0,0,False
29930851102774356,1938.1300661675177,134959816.85398108,701477.3129033814,192.3937,5.36185566649057,1938.1303806305523,104901786.38729168,167062.78890710248,627.91833,5.28658500600141,1938.1304688330697,51691819.5392688,50391.904634272374,1025.7961,5.464340952416769,False,False,False,12289,0,0,False
37355470320833204,2072.40136735012,142582637.52318692,368651.9846999767,386.76758,5.302200256754002,2072.401682201328,110098160.92334558,110400.12843701478,997.2648,5.234092054324325,2072.401767607095,53039364.82700471,50741.05670997486,1045.2948,5.436399714820588,False,False,False,12289,0,0,False
38751495464571103,2097.645433309364,147662428.30021265,860091.0388396574,171.68233,5.264191851822687,2097.645761676457,111885704.07026479,84481.91297699876,1324.3746,5.21660571797586,2097.645850116363,55844742.30470044,59220.35907925694,942.999,5.3804397730824824,False,False,False,12289,0,2048,False
49314953630585446,2288.6802955760436,141616812.1334523,318085.44940996304,445.21625,5.309579832128588,2288.6806104791567,110331700.76191212,192629.7334050302,572.7657,5.231791433610592,2288.6806959282762,53710901.63115491,67752.7019711615,792.7492,5.422739394087202,False,False,False,12289,0,0,False
50687435958555992,2313.5032125902176,142578115.10528845,1524795.3271892876,93.50639,5.302234694542516,2313.5035276460835,106547120.69209605,131234.98499618864,811.8805,5.269687920991707,2313.503612776558,51982120.727476984,52584.586973392456,988.5429,5.4582605172892364,False,False,False,12289,0,0,False
50697176746185588,2313.6793844766917,139951299.05527234,978576.6601045637,143.01517,5.322424531988002,2313.6796988817405,108172277.80444768,116018.43087797977,932.3715,5.253252278731647,2313.679787146693,67134148.19471857,56025.527338504144,1198.2778,5.180536793872477,False,False,True,12289,0,2048,False
58121796702709299,2447.9488860456795,137687118.02832308,1037377.5907422086,132.72614,5.340133592864259,2447.949200828808,105707041.86276919,103873.32493934996,1017.6534,5.278282416869573,2447.9492866967466,52280297.900682926,50928.871901385406,1026.5355,5.45205036718415,False,False,False,12289,0,0,False
60968739637695197,2499.4295696192,137615931.93882495,624811.0043448196,220.25209,5.340695078226485,2499.4298844820173,105264270.31110908,85119.34667488575,1236.6667,5.282839755068256,2499.429969868298,52660537.73743161,48615.930400118734,1083.1951,5.444182277294132,False,False,False,12289,0,2048,False
68578101688681259,2637.0428435910308,142545837.52876186,540981.3180005093,263.49493,5.3024805169875435,2637.04318624456,108731084.50343876,103755.15953057719,1047.9584,5.2476579163352,2637.043273918934,53614374.53905117,45359.591089059926,1181.9854,5.424692391379832,False,False,False,4206593,0,0,False
70346654428189699,2669.0293087851787,140407225.40418157,6704080.459334474,20.943546,5.318893223774392,2669.02962321044,100822989.14478931,91646.92865573641,1100.124,5.3296432932523,2669.029711409742,51211186.9860391,50205.64395145018,1020.0285,5.4744833958045085,False,False,False,12291,0,0,False
70350746723075317,2669.1032944449657,136992998.9728432,1283387.97199211,106.74325,5.345620934295098,2669.1036372119447,104091486.3357419,108384.30344007158,960.39264,5.295004190979103,2669.103724705595,51964682.91545607,47308.012662337096,1098.433,5.4586247971584925,False,False,False,4206593,0,0,False
71415406177465073,2688.358747386,142975872.89917246,1329660.206119766,107.52813,5.299209975330076,2688.359062117631,108594966.67561004,82751.21861030722,1312.3065,5.24901797484922,2688.359149110518,52967656.91930391,43262.72378439702,1224.3256,5.4378685964503255,False,False,False,12291,0,0,False
71425147018568541,2688.534918602896,142706113.67341456,551468.251746026,258.77484,5.3012604192417605,2688.535232890582,109128378.80389334,84411.23198453386,1292.8182,5.243697957216828,2688.535321708798,54267078.696456105,46850.5978106575,1158.3007,5.411554392947469,False,False,False,12289,0,0,False
