transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
16535640317687018,1695.8834461921,25213556.223390363,23924.940248911505,1053.8608,7.183281605376163,1695.8837598281423,14393524.116541464,30499.748382756992,471.92273,7.44312436629513,1695.8838490597423,16056584.366537755,12883.693397572497,1246.2719,6.733762587236754,False,False,False,8193,0,0,False
18684825837294373,1734.751035268054,25053402.25193329,30561.566860576655,819.76825,7.190200088562541,1734.7513491237949,14435754.181280926,19466.96169554989,741.55145,7.439943520591136,1734.751437417427,16220775.025962686,12645.188232991455,1282.7627,6.722716498930158,False,False,False,4097,0,0,False
20807228353159250,1773.1335554587245,24917816.12941545,44046.08406467362,565.7215,7.1960919250276625,1773.1338696581474,14458233.987697968,17298.415420833815,835.8126,7.4382540934006265,1773.1339561239652,16012606.837435512,13811.964251676693,1159.3287,6.736740400126969,False,False,False,12289,0,0,False
20811320635463359,1773.2075615204692,24915874.38623067,45832.170971050036,543.6329,7.196176535292537,1773.2078759883148,14377177.679198341,19750.965838851494,727.9228,7.44435811588372,1773.2079609158366,15922001.234064026,14480.00555236145,1099.5853,6.742901368044887,False,False,False,4097,0,0,False
21999999002919516,1794.7038340095578,24781197.4343621,26546.67980456794,933.4952,7.202061147612103,1794.704176100883,14331533.189067809,20103.907287781505,712.87305,7.447810581406678,1794.7042638331266,16682527.150541838,12469.211545362261,1337.8975,6.692240900328148,False,False,False,4202497,0,0,False
25490906818171395,1857.833427331895,24944189.24231897,16979.579935552916,1469.0698,7.194943385334231,1857.8337411674786,14204515.055337254,18558.37496445238,765.3965,7.457476187243888,1857.833829525751,16060766.503476722,15560.910028384582,1032.1226,6.73347983057155,False,False,False,8193,0,0,False
27235972131517048,1889.3912568497142,25396510.345648456,29106.926842131834,872.5246,7.175431752842989,1889.391570442426,14521527.905261751,20289.274473343423,715.72437,7.43351143144476,1889.3916597891944,16277940.636316193,12295.218744997097,1323.9244,6.718896850333145,False,False,False,8193,0,0,False
29180211916580414,1924.5514037677292,25046767.939798314,34676.90141579784,722.2897,7.19048763700372,1924.5517180620575,14367136.15407072,16232.158402004427,885.1033,7.445116697068769,1924.5518039731292,16087515.961840952,12842.428808867728,1252.6848,6.731673024118518,False,False,False,12289,0,0,False
29184304212135995,1924.625410565775,25370650.71167524,35735.68443715425,709.9528,7.176537851458317,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
30880186707367328,1955.2947104923708,25338944.42213189,42633.19432895857,594.3478,7.17789556969176,1955.2950033094526,14549617.747449111,19143.070924627464,760.04614,7.431413256952126,1955.2950913744382,16329148.100932209,13550.237966598623,1205.082,6.715486681186054,True,False,False,12293,0,0,False
30884279001728724,1955.3686691630367,25761187.60844912,77311.77322122605,333.2117,7.159952165997325,1955.3690113489922,14735937.355378062,32086.67686724823,459.2541,7.417597799278884,1955.3690986704341,16323493.049615687,14412.971794954723,1132.5557,6.715862754532598,True,False,False,4206593,0,0,False
32814765068522729,1990.2811857219929,25363521.67686321,21321.278380991458,1189.5873,7.1768429811524435,1990.28150014221,14206418.644351909,14665.839609605227,968.6741,7.457330694277189,1990.2815853575726,16564210.821254585,13158.128523329555,1258.8577,6.699968627766168,False,False,False,8193,0,0,False
32818857372865732,1990.3552158644452,25291785.750901233,41879.05050845129,603.9245,7.17991813153731,1990.355508659663,14560187.543300247,12627.203447892172,1153.0809,7.43062479337965,1990.35559682997,16578181.975481838,12555.61370934869,1320.38,6.699053244923515,False,False,False,12293,0,0,False
36245776556414875,2052.3310286316014,25235519.923432972,48698.49861273658,518.19916,7.182336224899267,2052.3313215209005,14394625.4957006,14161.114926731325,1016.48956,7.443041289942887,2052.3314094706743,16386283.83226532,12454.824790531819,1315.6575,6.711694318285865,False,False,False,12293,0,0,False
