transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
17778493950931456,1718.3585888143805,31039430.850888178,40133.43219893984,773.4058,6.957582493820297,1718.3589029414711,24159440.030184098,47377.465911101084,509.93524,6.88082505593086,1718.3589900345985,11159502.988661155,126463.16684766185,88.24311,7.128783369061239,False,False,True,8193,0,0,False
19707485822010516,1753.2464219828526,31116973.229904715,28951.415516770245,1074.7997,6.954873501457467,1753.2467641485907,24613756.45286542,40429.33817821787,608.80927,6.860597468186594,1753.246851696373,11709651.279794889,12011.953019138587,974.83325,7.0765355968460355,False,False,False,4202497,0,0,False
26495248771465367,1875.999015533366,30710591.96138005,47637.81407851391,644.6684,6.969146397660456,1875.999357575836,24099306.573444165,41555.85984648349,579.9256,6.883530849573905,1875.9994454090915,11580312.88490147,11714.171721505896,988.57294,7.088594767108209,False,False,False,4206593,0,0,False
26499341063205789,1876.0730444769615,30663027.942022044,108795.39132110284,281.84125,6.970829270148048,1876.0733585900623,24314410.90490959,45866.62073741387,530.1112,6.8738828361825774,1876.0734454780952,11600125.019407153,11258.520269267032,1030.3419,7.0867388265903415,False,False,False,12289,0,0,False
28084364749968464,1904.7348227421392,30622649.18094243,62743.981628870366,488.05716,6.972259969496061,1904.7351371086477,24158869.37043078,41511.47328930621,581.9805,6.8808507019421725,1904.7352223826845,11490518.412209721,11777.790242039015,975.609,7.097046443689123,False,False,False,12289,0,0,False
28088457044349142,1904.8088230340886,30813525.8186694,25487.137097252762,1208.9834,6.965513379459988,1904.8091368248881,24300481.56545781,42264.00695680033,574.9687,6.874505015428344,1904.8092252786973,11508350.780664764,11623.864174281016,990.0624,7.095362773786423,False,False,False,8193,0,0,False
29373876078310755,1928.052937649465,31065840.265514508,20811.77843691897,1492.7047,6.956659104909207,1928.0532512673603,24229408.059803806,35769.1657740871,677.3825,6.87768520537125,1928.0533404379592,11656552.557412839,11360.531099276304,1026.057,7.081470185704095,False,False,False,8193,0,0,False
37543779108795585,2075.8030201028455,30739731.974208828,42892.345634834994,716.67175,6.968116675853292,2075.8033342281274,24099163.698367137,23323.978243273817,1033.2356,6.8835372864854065,2075.803421069635,11549046.445027564,10954.356039605911,1054.2881,7.091530181441037,False,False,False,12289,0,0,False
39288864342859961,2107.364821990302,31321375.115082666,28441.576051209035,1101.2532,6.947764815025803,2107.365135758961,24709294.699252237,26864.611345197547,919.7712,6.8563913430444146,2107.3652247471687,11755804.818328504,10512.999284860785,1118.2161,7.0722645839858345,False,False,False,8193,0,0,False
40446146768282632,2128.295303316899,30607831.442112852,49010.68661806182,624.5134,6.972785464500191,2128.2956175505374,23848105.04069054,35497.466078542566,671.82556,6.8949075260224255,2128.295703687743,11512072.794392865,11802.424140561488,975.399,7.095011683366106,False,False,False,12289,0,0,False
40450239045620463,2128.3693151053776,30835148.475873277,61782.95660868856,499.08826,6.964751757154218,2128.3696290299454,24302346.915405117,30485.6382066384,797.17365,6.874421675506092,2128.369717338594,13425990.988454985,12143.472539228009,1105.6138,6.928029622779885,False,False,True,12289,0,2048,False
47275411410523459,2251.796802146481,31143492.501988437,65682.27257391768,474.1537,6.95394858272363,2251.7971164904766,24737894.604065422,50534.98483804607,489.52017,6.855135378610097,2251.797201613249,11630812.2061877,13264.311893756274,876.85004,7.08387039224646,False,False,False,12289,0,0,False
49075456638362483,2284.346756904638,31292485.780690618,57598.69237800547,543.28467,6.948766708154825,2284.347071188727,24659552.917605042,28966.208038194873,851.3214,6.858579219574075,2284.347157360908,14581669.745345635,14467.0272596646,1007.9244,6.838377356551405,False,False,True,12289,0,2048,False
50108265054225215,2303.023041092925,30915898.360232715,67219.03325458404,459.92773,6.961912189974559,2303.0233831341725,24280275.481373966,44870.83837179525,541.1148,6.875408191074214,2303.0234707521277,11491927.639766328,11855.57601515263,969.3268,7.096913294295241,False,False,False,4206593,0,0,False
50112357353567261,2303.097070995184,30741405.91329484,54866.628121820235,560.29333,6.968057553451427,2303.0973851653353,24303620.77567463,27139.12741568484,895.5196,6.8743647657774964,2303.097472009973,11570779.464555375,10530.896713483711,1098.7458,7.0894889607863085,False,False,False,12289,0,0,False
55574401377252909,2401.8746142299574,30456091.6033487,28121.974373737277,1082.9998,6.978181441946081,2401.8749283707093,23942735.108889736,41045.19976583753,583.32605,6.890607813983124,2401.87501506725,11511095.925639171,11421.23629175635,1007.8678,7.095103818535396,False,False,False,8193,0,0,False
55578493658392332,2401.948625536044,30960555.272818834,79273.60261696922,390.55316,6.960345014341218,2401.9489393903104,24297574.390586305,25307.58840614243,960.09045,6.874634914657982,2401.9490279689257,11546838.924575707,10659.468027338036,1083.2472,7.091737732253339,False,False,False,12289,0,0,False
56187023116395057,2412.9543027581262,30711814.757101115,65482.53092048157,469.00775,6.969103168042587,2412.954616541583,24148081.32928671,26437.95701609423,913.38684,6.881335641143412,2412.9547054359773,11521273.706239538,10326.245215244353,1115.7273,7.0941442658903355,False,False,False,12289,0,0,False
56196763954976562,2413.130473556919,31401581.2757062,155751.28298525908,201.61363,6.944988071552295,2413.1307879879273,24696918.079835247,55189.24551219418,447.49512,6.856935312853828,2413.130872916806,11549531.809368342,14410.286565299068,801.4783,7.091484552863246,False,False,False,12289,0,0,False
58337734861280040,2451.852118727673,31098240.316597324,47923.03666506976,648.9205,6.955527328766053,2451.852432584433,24580406.92984098,25475.70129286122,964.85693,6.86206954485651,2451.8525208698757,11692196.175067414,11821.912734853966,989.02747,7.078155267490548,False,False,False,12289,0,0,False
60396415212733804,2489.0854266596248,31121130.446157627,31802.78389854298,978.5662,6.954728457185968,2489.0857687946996,24512283.831572197,30482.655741102306,804.13873,6.865082773933885,2489.0858562493195,11696489.842363352,10651.868117811193,1098.0693,7.077756631151317,False,False,False,4202497,0,0,False
60400507497006615,2489.1594388916437,31194305.086230583,38859.84535564912,802.7388,6.9521785787542285,2489.1597811179518,24630836.77181319,20765.118598378816,1186.1641,6.859844300368575,2489.1598685152317,11675588.93069947,10279.69335051415,1135.7915,7.079698510842508,False,False,False,4206593,0,0,False
61092037283854108,2501.6662513447677,31136374.335739866,81492.00158330337,382.0789,6.954196767289002,2501.6665655926095,24174447.23553256,20637.774916525013,1171.3689,6.88015083469088,2501.6666521834263,11544493.999374157,10568.224631216144,1092.3778,7.091958245309549,False,False,False,12289,0,0,False
61101778068325687,2501.842390616783,30558838.645106647,39035.21746643204,782.853,6.97452475371707,2501.8427327404747,24175481.511597615,23517.963023165048,1027.9581,6.880104383703305,2501.8428202256764,11532264.559344986,11014.09214713546,1047.0463,7.093109008924188,False,False,False,4206593,0,0,False
61105870373970483,2501.9164303273515,30688637.723140698,51648.334635342166,594.18445,6.969922841027664,2501.9167441009763,24033890.894037213,22486.012574090066,1068.8374,6.886482002580806,2501.91683300706,11560737.400698423,10405.771706696702,1110.9928,7.090431660138748,False,False,False,4097,0,0,False
65402197902780330,2579.613375763125,31426921.729624525,162665.33295808325,193.19987,6.944112257282022,,,,,,,,,,,False,True,True,12865,8389632,16779264,False
65406290230436814,2579.6873791614285,31315582.46638249,57348.12760493257,546.0611,6.9479656322007095,2579.6876929257937,24722752.37223517,19799.8362766606,1248.6342,6.855800168532493,2579.687781706752,11911510.614875674,10149.913870694267,1173.5579,7.057978395914766,False,False,False,12289,0,0,False
65416031065879925,2579.8635270403206,31180547.690371357,36295.17891633467,859.08234,6.95265751865853,2579.863841138633,24627524.67470201,18525.726121203043,1329.3689,6.859990308625736,2579.8639278763985,11664002.243086843,10763.325016500952,1083.6802,7.08077651492356,False,False,False,12289,0,0,False
65420123336257882,2579.937529407358,31098881.1645108,60820.68156547238,511.32083,6.955504955004539,2579.9378435225044,24701897.509263687,19125.96108393308,1291.5376,6.856716427167466,2579.937930631817,11687234.44788324,10192.029618335375,1146.7034,7.078616110785646,False,False,False,12289,0,0,False
65433956261729757,2580.1876762916672,30827895.38534097,39510.73150425934,780.2411,6.965007175717119,2580.1879913081507,24075597.52401487,33887.88299332171,710.44855,6.884599529456359,2580.1880757997424,11462683.77125997,10861.90122994229,1055.311,7.099679722653693,False,False,False,4097,0,0,False
65904235046807156,2588.6918899002735,31359851.261888538,36715.08335048874,854.1408,6.946431881601608,2588.6922042338633,24469438.841488946,21635.63954351247,1130.9783,6.866982191359462,2588.692290082501,11713814.98196904,11118.860878426456,1053.5085,7.076149600837297,False,False,False,12289,0,0,False
65913975772952322,2588.868033911725,31531097.106907398,65465.742647218016,481.6427,6.940519161943939,2588.8683480306263,24646293.687270965,21190.058054663597,1163.1064,6.8591631676353835,2588.868434632487,11739372.219617033,10640.482748680059,1103.2744,7.073783318681013,False,False,False,12289,0,0,False
65918068061033667,2588.9420568966425,31331006.956857327,64677.43937886464,484.4194,6.947430984481141,2588.9423497081016,24757677.419958983,18733.36866843815,1321.5817,6.854267465796358,2588.9424378612825,12903938.639316306,10925.865957581076,1181.0449,6.971089778072358,False,False,True,12293,0,2048,False
65927808941188134,2589.1181825717094,31207767.90291692,47703.509204173955,654.20276,6.951710098557307,2589.118496276803,24639700.641180586,21278.159464488814,1157.9808,6.85945364808445,2589.118585020652,13321620.033750473,11956.324687438046,1114.1902,6.936502895349687,False,False,True,12289,0,2048,False
70089190302688724,2664.3682347180643,31303045.179896895,37194.21953386427,841.6105,6.9484003969517225,2664.3685489476347,24620587.274851665,27931.557479942014,881.4613,6.860296195935366,2664.368634892822,11776580.092428317,11425.660884479408,1030.7133,7.070347526008103,False,False,False,12289,0,0,False
70093282593919616,2664.4422360942262,31290125.660495438,65070.30298611179,480.86646,6.948848598887274,2664.442549954334,24787524.995735105,19926.24143274946,1243.9639,6.85295930290733,2664.4426382826923,11730044.080233896,10749.065679886058,1091.2617,7.074646390779204,False,False,False,12289,0,0,False
70794481468982369,2677.1221434421777,30508592.347504713,41125.55767379427,741.8402,6.976311442165748,2677.1224855127844,24265928.302852124,30423.533633665043,797.6039,6.876049940599266,2677.122573040853,11559553.452149838,10798.253611467175,1070.5021,7.090542857338914,False,False,False,4206593,0,0,False
