transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
23528865324626786,1822.3488422403416,15252087.111713368,33345.809658389866,457.39142,7.729043674392901,1822.3491558582375,9817407.195782602,14319.041525202168,685.619,7.858550204386688,1822.3492451204345,8381127.8891740525,19649.82940674188,426.5242,7.439639331940761,False,False,True,12289,0,0,False
23532957576913549,1822.42284564988,15259491.204032468,24745.86731043073,616.6481,7.7285167340184096,1822.4231593620295,9752874.272420106,14412.213630664763,676.709,7.865710651758057,1822.4232482205205,8473287.028547347,8660.186312387244,978.4186,7.427765705719594,False,False,False,12289,0,0,False
26099268347237688,1868.8324464854886,15475281.63876996,15288.826491794562,1012.1955,7.71327046304318,1868.8327609011114,9948991.78481013,13623.802858039096,730.2654,7.844094535158991,1868.8328460712753,8548027.779027205,9205.039927654014,928.62476,7.418230689038204,False,False,False,8193,0,0,False
26103360673728422,1868.906426439249,15639166.725564782,48596.53195312302,321.81653,7.701832843092852,1868.9067686336523,9991487.801421273,21488.350851343614,464.9723,7.8394668095874955,1868.9068559049451,8607928.300413279,9131.292645150084,942.6845,7.410648898931726,False,False,False,4206593,0,0,False
26113101465145375,1869.0825847330386,15634875.2104977,29014.6085450384,538.8622,7.702130818859487,,,,,,,,,,,False,True,True,4207489,8389632,16779264,False
27288484843778497,1890.339177467986,15751070.278486203,23016.520112272396,684.3376,7.694091693924349,1890.3394910830882,10106914.950805238,14091.496654798722,717.23505,7.826995687924086,1890.3395804446557,8514625.291792225,19494.763427768674,436.76474,7.422481649999298,False,False,True,12289,0,0,False
27292577083356044,1890.4131855423711,15665078.63975473,17180.110146223382,911.8148,7.70003541852838,1890.4134991643682,10038340.960444866,14938.258832230229,671.9887,7.834387358889579,1890.4135884574785,8588882.073660115,8754.555059721177,981.0758,7.413053901482261,False,False,False,8193,0,0,False
27302317870425014,1890.5893474921852,15610714.895060986,19603.36353261341,796.32837,7.703809886806507,1890.589661760171,9924014.856051143,13444.390657632426,738.15283,7.846823701470484,1890.5897457197682,8603271.640977945,4891.73517047323,1758.7362,7.411236412165291,False,False,False,8193,0,0,False
27306410203063759,1890.663357277352,15741237.689081516,19883.573645962093,791.6705,7.69476967526894,1890.6636716050477,10066730.52006115,17048.52656750544,590.4751,7.831321108343893,1890.6637575148904,8630051.575718334,9134.198599428966,944.80664,7.407862023169354,False,False,False,8193,0,0,False
29513207350039542,1930.5738537418126,15616127.984422632,17971.365036356972,868.945,7.703433467891468,1930.5741681498996,9971538.921363702,13398.120651248713,744.2491,7.841636743919917,1930.5742534724377,8593945.711815119,9562.065082329189,898.75415,7.412413986387904,False,False,False,1,0,0,False
29517299649926038,1930.6478649088579,15762783.399416504,33315.588553048525,473.13538,7.69328459745304,1930.64817879153,10084780.362015259,14970.038925472581,673.66425,7.829376105584018,1930.64826705355,8615255.166459234,8793.533383190965,979.7262,7.409725138904587,False,False,False,12289,0,0,False
31364604565266769,1964.057346574474,15775728.55847267,26869.422088864238,587.12573,7.69239330437798,1964.057660811287,10059225.697457546,14566.219061988944,690.58594,7.832130834639692,1964.0577471861864,8626396.76299639,9279.256931198717,929.64307,7.4083219280669645,False,False,False,12289,0,0,False
31368696859629309,1964.1313579077018,15978469.428282125,49344.68145629651,323.81342,7.678528926902079,1964.131672401757,10325902.378216764,24011.578139902012,430.03848,7.803722178594825,1964.131757307996,8602639.722215408,10395.632815242077,827.5244,7.411316163486191,False,False,False,12289,0,0,False
32691495716405419,1988.054759611556,15690390.21257004,11878.877064630396,1320.8647,7.698282506007516,1988.0551017001292,9974008.222109614,14323.968773664485,696.316,7.841367911060665,1988.0551895686729,8668489.913053947,8836.94008974963,980.9379,7.403036880747862,False,False,False,4202497,0,0,False
35066357040568128,2031.0044181433266,15739822.887164064,27231.11971392669,578.00867,7.694867264208913,2031.0047109944078,10013381.137611788,11390.970088923179,879.06305,7.837090348406225,2031.00479893609,8600356.701516943,9367.684873852308,918.08777,7.411604340985278,False,False,False,12293,0,0,False
35070449337419223,2031.0783772166203,15669558.251750622,13746.058803216732,1139.931,7.699724983977809,2031.0787193773658,10006593.119902385,11333.139196160184,882.9498,7.837826612776325,2031.0788067870337,8697254.176706627,8778.34502164663,990.7624,7.399440094931979,False,False,False,4202497,0,0,False
35757812171159234,2043.5091352942966,15765172.533852814,18539.758278397523,850.344,7.693120046997187,2043.5094494262614,10079789.373378012,10908.838914972099,924.002,7.8299135727596365,2043.509536065377,8700494.421710955,8783.83556223964,990.51196,7.399035668884061,False,False,False,8193,0,0,False
35761904466060184,2043.5831426681475,15677858.579715647,22289.643811918206,703.3696,7.699150010490069,2043.5834564524482,10105315.945536805,10195.597062009369,991.1451,7.827167474791558,2043.5835452663305,8981411.013930557,8564.74765124708,1048.6487,7.364534072786725,False,False,False,12289,0,0,False
39224379801868161,2106.198654545689,15570875.780901603,62744.874689795026,248.16171,7.706584266894684,2106.198968935389,9893302.435183274,15068.972428856212,656.53467,7.850189001977974,2106.199053854984,8537692.866683071,10109.736967642943,844.50195,7.4195441823471775,False,False,False,12289,0,0,False
39228472083535226,2106.27267877709,15450814.11516389,19550.491606863496,790.3031,7.714988447878639,2106.2729716104513,9947990.9265116,12168.959060644755,817.4891,7.844203764594152,2106.273059720637,8529773.528037524,8381.869203200664,1017.64575,7.420551749973608,False,False,False,5,0,0,False
41213277917684303,2142.164819676258,15398912.534519458,14416.540045749796,1068.1421,7.718641736544491,2142.1651338492334,9901219.762103323,13422.535393798651,737.65643,7.849320465839064,2142.1652201157913,8501415.179121397,8943.203605032166,950.60065,7.424167435890745,False,False,False,8193,0,0,False
43009532062348926,2174.647354859762,15326217.938152136,13644.016595101617,1123.2922,7.723779374772558,2174.6476689693804,9782166.450118259,13354.305622888633,732.5103,7.862454594897912,2174.6477556314107,8436341.364347324,8678.62917668704,972.0823,7.432510139852507,False,False,False,8193,0,0,False
43013624344142131,2174.7213581103424,15236503.691107774,22071.418564727606,690.32733,7.730153564025272,2174.721671835962,9742913.866304802,11977.24539838021,813.45197,7.866820057994669,2174.72176080108,10335963.557737894,9512.997426263462,1086.5096,7.212018077579852,False,False,True,12289,0,2048,False
44391972635563891,2199.647124584419,15296824.001804797,35649.69210887991,429.08713,7.725863692245422,2199.6474173718016,9777276.157600638,14040.365635345363,696.3691,7.8629975109569585,2199.6475052940177,8412391.500514265,9115.985946340172,922.8175,7.435596811352955,False,False,False,12293,0,0,False
44396064917996555,2199.7210800865305,15213751.039404217,16647.76787216332,913.8613,7.731776104297918,2199.7214222515313,9790660.406095153,12607.127894445834,776.5972,7.861512248023605,2199.7215098131646,8403986.474503538,8440.685101196192,995.65216,7.436682139217876,False,False,False,4202497,0,0,False
47031532745527719,2247.3819569447683,15516502.280516094,18097.251243827115,857.3955,7.710382293092422,2247.3822692195226,9878058.288897501,8180.634129046725,1207.4929,7.851863254452937,2247.3823547812713,8443323.530180201,5268.663046546237,1602.5552,7.431611924074872,False,False,False,8193,0,0,False
47035625051832889,2247.4559376785746,15310212.345140042,20537.439706525078,745.47815,7.724913831576579,2247.4562798272113,9840178.69053587,12096.101767473536,813.5,7.856034753354997,2247.456367565462,8432657.53833122,8381.641727699182,1006.0866,7.4329843426625715,False,False,False,4202497,0,0,False
47045365810624004,2247.6321258552643,15291715.752593882,27594.524328114705,554.1576,7.726226325519669,2247.6324394833787,9813955.098287972,12349.515556613214,794.6834,7.858932049234209,2247.6325286124643,8430138.38161496,8884.563510586988,948.8523,7.433308741971633,False,False,False,12289,0,0,False
48345035500582747,2271.1366995560793,15420701.0343963,32055.915626307822,481.05634,7.717106573421699,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
48349127752737933,2271.2107088347216,15301830.228615917,15400.09281364964,993.6193,7.725508418990227,2271.211022649612,9813923.459519444,11711.338209280522,837.9848,7.858935549495978,2271.211111383487,9208310.300683904,8831.557223305943,1042.6599,7.337445636957995,False,False,True,8193,0,2048,False
50362439516312933,2307.622281565142,15270701.133579675,27944.2887140625,546.4695,7.727719423161371,2307.622574343458,9813686.355682287,11938.510028271436,822.01935,7.858961781138316,2307.6226624578467,8455295.649759313,8609.358918779724,982.10516,7.4300735065614525,False,False,False,12293,0,0,False
52324027255650131,2343.098598536038,15420137.94906169,29954.330367621147,514.78827,7.717146219692964,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
52328119550006461,2343.172630657574,15306446.132819327,15197.677164505365,1007.1569,7.725180948453161,2343.172923514214,9803690.944589105,11126.83052523467,881.0857,7.860068185983195,2343.173011659337,8446680.947906997,8505.886041599342,993.0395,7.431180275873331,False,False,False,8197,0,0,False
53499030292796074,2364.3489553950008,15558507.622031411,30015.709616544307,518.34546,7.707447024656659,2364.349269731164,9860238.148490826,17894.833708347494,551.0103,7.8538237049843715,2364.349355193144,8426138.605273806,9804.608848301912,859.4059,7.43382400427652,False,False,False,12289,0,0,False
53503122575249855,2364.4229653616535,15271128.203221252,24570.925946527834,621.51215,7.727689059232169,2364.4232792574157,9833255.724439077,11640.684306592511,844.73175,7.856798881781923,2364.4233676563417,9683894.717809247,9064.513553970926,1068.3303,7.28277035316551,False,False,True,12289,0,2048,False
55942750838858742,2408.5434696844445,15750038.106841652,26394.001132589936,596.72797,7.694162844825499,2408.543783903525,10039215.379944663,16741.206622409587,599.67096,7.8342927867321315,2408.5438700169047,8577755.843938876,9565.488592982421,896.7399,7.414461300203001,False,False,False,12289,0,0,False
55946843094815167,2408.6174763692416,15617798.579237616,14841.881158172733,1052.2789,7.703317323334868,2408.617790792903,10002618.695526874,12773.384112631094,783.0829,7.838257931764211,2408.617876288386,8587445.09470505,9035.288561319132,950.43396,7.413235567803046,False,False,False,8193,0,0,False
56606558044832473,2420.548034932476,15598275.289584326,25532.084289055685,610.9284,7.704675415019647,2420.548376988111,9998870.643366566,14263.835672937845,700.9945,7.83866484106046,2420.548464670631,8573639.064486453,8770.311935976428,977.57513,7.414982509889818,False,False,False,4206593,0,0,False
62025084971448150,2518.5350966242586,15799956.838397328,33605.592823315135,470.15854,7.690727115630203,,,,,,,,,,,False,True,True,12289,1024,16779264,False
64014771731338640,2554.5157812887255,15575215.78322281,74141.03561432465,210.07552,7.7062816865423684,2554.5160941513013,10070747.541114008,7123.380986748436,1413.7595,7.8308879433530265,2554.516179250775,8634151.349926462,5062.293768857327,1705.5808,7.407346358079927,False,False,False,12289,0,0,False
64024512613467005,2554.69190591537,15621267.1787161,16246.276594102494,961.52905,7.703076215993292,2554.6922479769946,9932181.51731035,16020.244054001178,619.9769,7.845930595849008,2554.692335602889,8644067.541023817,8690.95334112955,994.6052,7.406100122118026,False,False,False,4202497,0,0,False
64028604876911086,2554.7659377284076,15573474.592760341,22536.73191384526,691.0263,7.706403070363237,2554.7662513374657,10016224.580511356,10575.247226205891,947.13855,7.836782081836585,2554.7663407303353,8634970.034965027,8520.486761395101,1013.4362,7.4072434141064,False,False,False,12289,0,0,False
65282745778450588,2577.445806757317,15687054.233191557,18788.16365810037,834.9435,7.698513372074984,2577.4461207918193,10083578.021305002,10128.12353127939,995.6018,7.82950555834525,2577.446207971572,8761932.965361832,8771.21546301292,998.9417,7.391395685624463,False,False,False,8193,0,0,False
65286838077928096,2577.5198126694795,15598907.801432548,23025.18767408807,677.4715,7.7046313891849,2577.5201268237565,10114311.086579716,9829.638224928623,1028.9607,7.826201447977514,2577.5202138167692,8661740.730272124,8528.322430929209,1015.64417,7.403882551255087,False,False,False,12289,0,0,False
67925477103247409,2625.2386167442023,15676318.191058433,31794.334990437153,493.0538,7.699256692017581,,,,,,,,,,,False,True,True,12289,8389632,16779264,False
67929569388062273,2625.3126259439928,15616235.928174935,12345.78041785029,1264.9047,7.7034259629558655,2625.312939769842,10061332.983508326,10499.557241125673,958.2626,7.831903409864488,2625.3130284034646,8596680.485054193,8312.475183839877,1034.1902,7.412068537384648,False,False,False,8193,0,0,False
69376997927309799,2651.4897086949013,15456984.630070942,25489.262584460703,606.4116,7.714554929362436,2651.490022520027,9934675.454543153,11390.874184869957,872.16095,7.8456580053769365,2651.4901108656186,8546948.978342937,8747.169475619805,977.1102,7.418367722621671,False,False,False,12289,0,0,False
69381090208432791,2651.563691085123,15492440.543379195,15976.5092049868,969.70123,7.7120672718129555,2651.5640332467465,9959978.257051656,11187.788959948473,890.2544,7.842896239932173,2651.5641209350542,8554216.962840576,8419.214292630808,1016.0351,7.4174448481922965,False,False,False,4202497,0,0,False
71200983975744298,2684.4773937095865,15305768.880406514,13759.003772487222,1112.4183,7.725228989241074,2684.4777075552406,9824288.679123383,9892.492374605737,993.1055,7.857789427317456,2684.4777958368213,8445543.104323365,8446.54355671601,999.88153,7.431326544117482,False,False,False,8193,0,0,False
