solution_id,source_id,transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
375316653866487564,6237015550067390592,17287260377065036,1709.4739019691074,1.353086529364147E8,196958.35806583756,686.99115,5.359052940927828,1709.4742167958218,1.0019285877133028E8,151706.47065056412,660.4389,5.336450294871785,1709.4743021056522,5.743073733369637E7,482655.8113310757,118.98901,5.350034520964517,false,false,true,12289,0,0,false
375316653866487564,6237015550067390592,18998780395430457,1740.423170519888,1.3614021031992757E8,453387.5195595972,300.2734,5.352400824053564,1740.423485289891,1.0103346597447938E8,141908.24055983973,711.9633,5.327379086274711,1740.423571555916,5.773584285211525E7,54075.859727433846,1067.6824,5.344281725629532,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,24071836609548687,1832.1666741526496,1.3194523114493115E8,88774.35752870898,1486.299,5.386382621379095,1832.1669890788132,9.685641501636656E7,123359.59228377063,785.1551,5.373221240047965,1832.1670746479515,5.575258614239337E7,51562.06715036796,1081.2714,5.382232957669331,false,false,false,8193,0,0,false
375316653866487564,6237015550067390592,24075928927782605,1832.2406588270844,1.3508384941517738E8,739583.1959013974,182.64862,5.3608582970385115,1832.2410015801029,9.821611683788773E7,138129.25421801244,711.045,5.3580853171182845,1832.241088932349,5.785207575011846E7,49362.69545898389,1171.9796,5.342098135690218,false,false,false,4206593,0,0,false
375316653866487564,6237015550067390592,24085669737551418,1832.4168782365248,1.3576998327919024E8,302759.2216531998,448.4421,5.355357455764878,1832.4171716259775,1.003854389797063E8,120074.91464389033,836.0234,5.33436540960605,1832.417259672596,5.8096745782797605E7,54459.343799275426,1066.7911,5.337515984643311,false,false,false,12293,0,0,false
375316653866487564,6237015550067390592,24089761989719051,1832.4908687624634,1.361411374802236E8,351139.9843226033,387.71185,5.3523934298526115,1832.491182955274,9.86360719499017E7,120939.85307837096,815.5795,5.353452793964564,1832.4912722421286,5.726170017696382E7,51132.038917975246,1119.879,5.353234904492563,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,24472960105080004,1839.421338670135,1.3476549150129616E8,307119.01187194313,438.80542,5.363420118181839,1839.4216530100352,9.99213293267533E7,111403.9534059482,896.92804,5.339396707940864,1839.4217417208192,5.786025794296975E7,58404.70535032549,990.67804,5.3419445876155365,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,24477052350292782,1839.4953507735333,1.3629685117923975E8,764906.4038690383,178.18762,5.351152310581099,1839.4956650813126,9.996805349925222E7,141534.4726134531,706.3159,5.3388891259379925,1839.4957539205734,5.9053072249774136E7,54307.49855998067,1087.3834,5.31978925913365,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,24486793156895615,1839.6715224202926,1.341722945048394E8,278487.41496046906,481.78943,5.368209750086265,1839.6718372485236,9.938830988997984E7,122989.56245696667,808.10364,5.345203952209591,1839.6719234198715,5.706965516116333E7,54867.11163514559,1040.1432,5.356882380236787,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,24490885480227482,1839.745535970355,1.3209586744856535E8,671674.2624142696,196.66656,5.385143789188035,1839.745850805862,9.750015874780343E7,147823.27957659014,659.57245,5.366028908775746,1839.7459370501786,5.565679269748822E7,51733.019746581485,1075.8466,5.384100061463037,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,26562974373025638,1877.221740855255,1.350716096350383E8,900365.871330328,150.01859,5.360956678707282,1877.2220559148748,9.914402007595593E7,164855.23492741762,601.4005,5.347875904223116,1877.2221408199125,5.665093365939649E7,55980.5348373632,1011.9756,5.364877821579199,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,26572715195266401,1877.397916483987,1.310085154762614E8,205032.9143615896,638.9633,5.394118053409354,1877.398230725178,9.623696144389671E7,140328.3081901256,685.79865,5.380187460126464,1877.3983199147492,5.5974074911419116E7,131756.54170306987,424.82956,5.377928189438798,false,false,true,12289,0,0,false
375316653866487564,6237015550067390592,28769345592906462,1917.1265613921992,1.3464870085151356E8,381890.52787845774,352.58456,5.364361448285361,1917.126875831702,9.947443826776555E7,151842.616435712,655.1154,5.344263477387308,1917.1269641246126,6.809669221362476E7,69524.89652836754,979.45764,5.165080459561359,false,false,true,12289,0,2048,false
375316653866487564,6237015550067390592,28773437916767606,1917.200574732299,1.3575405945759124E8,485686.51070171164,279.50964,5.355484804116603,1917.2008890785748,1.0038896601948982E8,139039.46411105513,722.01776,5.334327262962919,1917.2009777661015,5.790978587285642E7,50747.93522492861,1141.126,5.34101560343046,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,28783178749719421,1917.376746367339,1.3525264928561953E8,520405.80912236485,259.89844,5.359502415347382,1917.3770610631127,1.0043325039160493E8,103778.62417768904,967.76434,5.333848420056498,1917.377147998363,5.802773311828733E7,56840.26244081807,1020.89136,5.338806488729549,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,28787271032161669,1917.450730818801,1.2940542059055206E8,3075011.9461496472,42.0829,5.4074856954808475,1917.4510735491967,9.757651913763563E7,229124.00803456706,425.8677,5.365178912302735,1917.4511610037962,5.6959017128236495E7,50901.42611087063,1119.0063,5.358989284636454,true,false,false,4206625,0,0,false
375316653866487564,6237015550067390592,28797011775197749,1917.6269288885142,1.3454699023736537E8,222676.20696605192,604.22705,5.365181899021383,1917.6272438218577,9.87658031146722E7,114408.97431281868,863.2697,5.352025716914671,1917.6273293079462,5.660353707101284E7,54945.4749251613,1030.1765,5.365786575020234,false,false,false,12289,0,0,false
375316653866487564,6237015550067390592,28801104017925036,1917.7009407346693,1.3626732329144156E8,731621.1851526602,186.25394,5.351387554240841,1917.7012555796948,1.0076475639572059E8,162170.36054769874,621.35126,5.330270567549711,1917.7013417178814,5.752692400411598E7,57364.45857881525,1002.83215,5.348217619443641,false,false,false,12289,0,0,false
